amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_3yr_return,rank_sharpe,rank_alpha,rank_max_dd,rank_expense,fund_score,annualized_std,expense_ratio_pct_dup
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.33991970400445304,1.0682238272314732,0.2698375144191807,-0.11265729075028275,1.46,0.975,1.0,0.85,0.825,0.45,86.25,0.12025007220633226,1.46
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.3176924285223732,0.883255618469884,0.2926358334175106,-0.18188513572116294,1.36,0.9,0.925,0.95,0.4,0.65,82.875,0.16331148626873557,1.36
120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2957511058901836,0.9655606517440118,0.27330465038306057,-0.1297396816518679,1.45,0.85,0.975,0.9,0.7,0.475,82.0,0.13454333708270202,1.45
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.3243397122906222,0.8082678003905592,0.2719535450128533,-0.16217208574644848,1.38,0.925,0.85,0.875,0.525,0.6,80.75,0.16029119278668055,1.38
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.32478927222623,0.7146822636441238,0.2119482701352573,-0.12588275606922517,0.8,0.95,0.75,0.7,0.725,0.725,79.375,0.12159171405589163,0.8
119094,Axis Midcap Fund - Regular - Growth,Equity,0.35102527889035406,0.7305467735561727,0.2607666908004223,-0.20960883862039192,1.38,1.0,0.8,0.8,0.325,0.6,78.25,0.1642463139678321,1.38
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.3044861306002782,0.8609773262277756,0.23201007160635082,-0.1501238549864533,1.54,0.875,0.9,0.775,0.6,0.2625,74.1875,0.11636541830220329,1.54
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.2917135767741186,0.919046535635828,0.2827036785246582,-0.1639674294693263,1.6,0.825,0.95,0.925,0.5,0.1125,73.6875,0.1496454949053764,1.6
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.2666309129954312,0.7116901743847245,0.3033696538698332,-0.2870600572176455,1.43,0.725,0.7,1.0,0.125,0.5,68.0,0.21273031336024348,1.43
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.28960211096593724,0.717408995989017,0.21399784776051212,-0.11291596329323073,1.6,0.8,0.775,0.725,0.8,0.1125,67.56249999999999,0.12332110247769963,1.6
149324,DSP Small Cap Fund - Regular - Growth,Equity,0.2699350260734621,0.7144216579881013,0.3005787817097677,-0.31171900300634214,1.52,0.775,0.725,0.975,0.1,0.3625,67.31249999999999,0.2101908465972875,1.52
149323,DSP Midcap Fund - Regular - Growth,Equity,0.26863103668817145,0.8328852279505966,0.26598577542043045,-0.17248105753451382,1.61,0.75,0.875,0.825,0.475,0.075,66.75,0.1502289807114623,1.61
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.22646647456747715,0.7588510310771438,0.21829397904608644,-0.17414075086657232,1.51,0.675,0.825,0.75,0.45,0.4125,66.56250000000001,0.11978074493866073,1.51
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.16263375081360643,0.6482414723266905,0.1986859936686296,-0.11803493502764295,0.66,0.45,0.675,0.65,0.75,0.925,64.75,0.11798750618901818,0.66
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.18429918008610047,0.5062729716095954,0.17729754927531766,-0.15200013055606398,0.92,0.55,0.575,0.625,0.575,0.675,59.24999999999999,0.12412510324744544,0.92
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.21084691029380598,0.3888288460001742,0.15643835948169668,-0.18629743138595511,0.72,0.65,0.5,0.475,0.375,0.8875,58.56249999999999,0.11842466866302143,0.72
118635,Nippon India ETF Nifty 50 BeES,Equity,0.2000321571698329,0.3931881969124055,0.1513635464823924,-0.1165062450540909,0.89,0.6,0.525,0.45,0.775,0.7,58.37500000000001,0.10985306633798696,0.89
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.19662361245910964,0.5197971450361778,0.17048756803412696,-0.1085986215250232,1.57,0.575,0.625,0.55,0.85,0.175,54.99999999999999,0.1086373712116601,1.57
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.13974980348212673,0.5165503915082101,0.17703302365844073,-0.13897862823061635,1.42,0.4,0.6,0.6,0.675,0.525,53.625,0.11749520419593236,1.42
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.14744434832760533,0.6406730942266641,0.20873010086942337,-0.1527259422823477,1.52,0.425,0.65,0.675,0.55,0.3625,53.43750000000001,0.1305827825255206,1.52
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.18417429266835228,0.40461547832920475,0.1625385327998104,-0.1982565826298267,1.41,0.525,0.55,0.525,0.35,0.55,51.75000000000001,0.1288537355031303,1.41
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.20811559826631898,-0.04707325681075906,0.08232801295222093,-0.21751396370148224,0.75,0.625,0.325,0.325,0.25,0.825,48.25,0.1182482043206589,0.75
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.25549670172502026,0.38463733450338444,0.16211256794033255,-0.21539827112383225,1.64,0.7,0.475,0.5,0.275,0.0375,46.1875,0.13331254069504203,1.64
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1803973982038829,0.23966336777285166,0.13173190226099432,-0.14844576917771746,1.54,0.5,0.4,0.425,0.625,0.2625,43.6875,0.12141529821671088,1.54
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.11242518737374207,0.1347978410610396,0.11989100971217971,-0.21117279560132118,0.78,0.375,0.375,0.375,0.3,0.775,42.75,0.1552019281708006,0.78
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.080060298597036,0.292343251010993,0.1750072167561127,-0.2334488614483311,1.53,0.35,0.45,0.575,0.225,0.3125,40.18750000000001,0.2134696587931458,1.53
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.1726301444443794,0.25511741256223125,0.13042924450705445,-0.1757361416468729,1.59,0.475,0.425,0.4,0.425,0.15,39.375,0.11389383315023298,1.59
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.07392538786263403,-3.650183878568478,0.06746210411099539,-0.0009773140045925555,0.74,0.3,0.075,0.25,1.0,0.85,38.625,0.004595542446781668,0.74
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.06694394239074852,-4.000348969233408,0.06455677495375998,-0.0011629327956168556,0.6,0.275,0.05,0.225,0.975,0.95,38.0,0.004712319548628601,0.6
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.04061259859840338,-0.8505789759662293,0.05074772999976104,-0.08316361763638702,0.55,0.2,0.125,0.15,0.875,1.0,35.875,0.033727480304525666,0.55
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05838988442093762,-0.7430986305648408,0.05620895216638369,-0.04328728923970093,0.77,0.225,0.15,0.175,0.9,0.8,35.0,0.03357814142204654,0.77
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.03915479354684703,-1.0399413574427754,0.042817920315060876,-0.04308263824636349,0.56,0.175,0.1,0.075,0.925,0.975,33.125,0.03304017152036813,0.56
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.06314299292105274,-4.650400707150913,0.060861457957871144,-0.0016224980244717857,0.79,0.25,0.025,0.2,0.95,0.75,32.875,0.00461860837197231,0.79
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.0775416750547262,-0.05816681141492252,0.0780443887615508,-0.24003511326274884,1.56,0.325,0.3,0.3,0.2,0.2,28.249999999999996,0.15131095633895364,1.56
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-0.01337083602283895,-0.13617811182970374,0.048824215945539845,-0.5257422117012851,0.72,0.075,0.25,0.125,0.025,0.8875,24.5625,0.2109507450893358,0.72
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.005257668501786883,-0.13100916883965183,0.0689952982167755,-0.1440161790933726,1.64,0.125,0.275,0.275,0.65,0.0375,23.1875,0.1179651178179341,1.64
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.04151453816140693,0.05261813647585507,0.10897091901704538,-0.3544691649336603,1.53,0.05,0.35,0.35,0.075,0.3125,22.6875,0.21812982654308152,1.53
119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.11703299329834216,-0.1516581586164415,0.04801595363775955,-0.5167775370852656,1.38,0.025,0.225,0.1,0.05,0.6,17.875000000000004,0.21193443362831077,1.38
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.007672319440258146,-0.29488891285108904,0.02896939786637944,-0.2800112356639287,1.51,0.1,0.2,0.025,0.15,0.4125,16.1875,0.15332441289191184,1.51
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.012923525892154508,-0.32101926049954294,0.03747580763443281,-0.24734440880673303,1.55,0.15,0.175,0.05,0.175,0.225,15.0,0.1230042952202974,1.55
